Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Drake Caggiula,28,PIT,LW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,7.9,22,7:28,1,5,0,1,53.9
Kyle Capobianco,25,WPG,D,7,1,0,1,1,4,0.4,1,0,0,1,0,0,0,4,0,93,13:21,3,9,0,0,0
Michael Carcone,26,ARI,F,1,1,0,1,2,0,0.2,1,0,0,0,0,0,0,3,5.9,15,15:01,0,2,0,0,37.5
Brandon Carlo,26,BOS,D,30,1,5,6,16,16,2.2,1,0,0,0,4,0,1,42,5.3,559,18:37,48,62,0,0,53
John Carlson,33,WSH,D,30,8,13,21,-1,6,3.5,5,2,1,0,8,5,0,101,5.9,702,23:24,70,34,0,0,50
Lucas Carlsson,25,FLA,D,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,2,12.8,20,10:06,1,3,0,0,42.6
Ryan Carpenter,32,NYR,C,21,1,2,3,-5,10,-0.1,1,0,0,0,2,0,0,17,7.4,202,9:36,11,35,67,57,52.7
Sam Carrick,30,ANA,C,20,1,2,3,-6,21,-0.2,1,0,0,0,2,0,0,19,0,206,10:19,11,38,76,88,51.3
Alexandre Carrier,26,NSH,D,27,2,2,4,-2,12,1,2,0,0,1,2,0,0,34,7.5,496,18:22,33,35,0,0,48.3
William Carrier,28,VEG,LW,36,10,3,13,2,12,1.6,10,0,0,4,3,0,0,78,16.7,450,12:29,14,90,1,5,48.5
Jeff Carter,38,PIT,C,31,4,10,14,-3,14,0.9,3,1,0,1,5,4,1,54,2.8,454,14:39,31,35,228,170,42.9
Jackson Cates,25,PHI,C,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,3.8,45,8:59,1,3,9,10,51.7
Noah Cates,23,PHI,LW,35,3,9,12,0,2,0.5,3,0,0,1,5,3,1,40,9.6,629,17:59,31,56,147,243,25
Cole Caufield,22,MTL,RW,34,19,9,28,-6,0,3.4,15,4,0,1,7,2,0,114,0,608,17:53,6,12,0,0,54.4
Cody Ceci,29,EDM,D,36,1,6,7,6,12,1.6,1,0,0,0,6,0,0,36,2.8,757,21:02,53,55,0,0,40.9
Erik Cernak,25,TBL,D,28,1,6,7,7,20,1.6,1,0,0,0,6,0,0,26,4.2,559,19:59,55,93,0,0,33.3
Thomas Chabot,26,OTT,D,29,7,12,19,-7,22,3.1,2,5,0,0,6,6,0,73,9.1,758,26:09:00,44,32,0,0,57.1
Rourke Chartier,26,OTT,C,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,8,0,62,10:20,3,10,19,14,0
Jalen Chatfield,26,CAR,D,35,1,1,2,2,19,1,1,0,0,0,1,0,0,36,5.1,456,13:02,34,42,0,0,58.3
Ben Chiarot,31,DET,D,32,2,6,8,-13,29,0.6,2,0,0,0,6,0,0,48,14.8,667,20:51,67,68,0,0,5.3
Yegor Chinakhov,21,CBJ,RW,30,4,9,13,-6,10,0.8,3,1,0,0,8,1,0,44,0,398,13:15,17,27,1,2,50
Jake Christiansen,23,CBJ,D,17,0,2,2,-3,4,0.2,0,0,0,0,2,0,0,19,4.2,236,13:52,17,17,0,0,50
Jakob Chychrun,24,ARI,D,17,3,13,16,10,12,2.9,2,1,0,0,11,2,0,59,5.1,385,22:38,25,24,0,0,40
Filip Chytil,23,NYR,C,28,8,9,17,8,22,2,7,1,0,2,9,0,0,54,0,398,14:12,19,24,90,146,62.1
Nick Cicek,22,SJS,D,10,0,4,4,-3,11,0.3,0,0,0,0,4,0,0,1,0,150,14:59,11,14,0,0,0
Anthony Cirelli,25,TBL,C,9,1,6,7,3,0,0.6,0,1,0,0,6,0,0,24,0,138,15:21,5,4,52,54,0
Casey Cizikas,31,NYI,C,35,2,5,7,0,40,0.1,2,0,0,0,5,0,0,39,5.6,461,13:11,27,76,227,196,37.5
Kale Clague,24,BUF,D,12,0,2,2,2,6,0.4,0,0,0,0,2,0,0,9,14.3,198,16:28,12,13,0,0,43
Brandt Clarke,19,LAK,D,9,0,2,2,-1,6,0.2,0,0,0,0,1,1,0,11,0,123,13:39,14,3,0,0,25
Kyle Clifford,32,TOR,LW,2,0,1,1,1,2,0.1,0,0,0,0,1,0,0,2,9.1,16,7:55,0,6,0,0,30
Connor Clifton,27,BOS,D,34,3,9,12,12,30,2.8,3,0,0,0,9,0,0,54,6.7,645,18:58,42,93,0,0,66.7
Cal Clutterbuck,35,NYI,RW,26,3,2,5,4,14,0.4,3,0,0,0,2,0,0,21,7.2,318,12:15,21,98,1,3,36.4
Dylan Coghlan,24,CAR,D,7,0,2,2,0,2,0.3,0,0,0,0,2,0,0,13,15.7,99,14:06,3,7,0,0,39.3
Andrew Cogliano,35,COL,LW,31,4,3,7,4,6,0.6,4,0,0,0,2,0,1,44,8.5,432,13:55,21,19,11,14,50
Ian Cole,33,TBL,D,29,3,9,12,14,24,2.8,3,0,0,0,9,0,0,45,14.7,546,18:50,52,48,0,0,48.7
Blake Coleman,31,CGY,C,36,5,8,13,-1,26,0.8,5,0,0,0,8,0,0,69,12.2,529,14:41,23,55,6,4,58.9
Ross Colton,26,TBL,C,31,8,7,15,-4,18,1.4,6,2,0,1,4,3,0,51,7,366,11:49,11,69,59,51,42.9
J.T. Compher,27,COL,LW,33,5,14,19,-2,8,1.3,3,2,0,2,10,4,0,59,13.8,657,19:55,31,15,342,343,36.4
Max Comtois,24,ANA,LW,24,5,0,5,-8,53,0.2,5,0,0,0,0,0,0,34,6.1,317,13:13,10,41,7,11,46.6
Kyle Connor,26,WPG,LW,35,15,24,39,4,2,4,12,3,0,5,13,11,0,123,17.1,715,20:25,15,22,0,0,46.8
Andrew Copp,28,DET,C,32,3,15,18,-5,8,0.9,2,1,0,1,14,1,0,43,14.8,557,17:24,13,14,216,241,60.9
Paul Cotter,23,VEG,C,22,4,2,6,0,8,0.6,4,0,0,1,2,0,0,29,13.3,256,11:37,9,66,9,8,48.9
Nick Cousins,29,FLA,C,32,3,8,11,-1,13,0.6,3,0,0,2,8,0,0,49,100,356,11:07,14,25,23,25,60.4
Logan Couture,33,SJS,C,36,14,15,29,-12,11,2.6,10,3,1,0,7,8,0,82,19.2,676,18:47,32,59,299,343,46.4
Charlie Coyle,30,BOS,C,34,9,9,18,15,16,2.1,8,0,1,0,8,0,1,61,22.2,569,16:45,21,29,214,173,48.3
Dylan Cozens,21,BUF,C,32,11,20,31,1,18,3,8,2,1,0,11,8,1,83,15.4,548,17:07,13,24,235,246,42.6
Joseph Cramarossa,30,MIN,C,4,1,0,1,0,4,0.1,1,0,0,0,0,0,0,1,9.1,31,7:48,1,8,0,1,51.6
Sidney Crosby,35,PIT,C,34,19,24,43,3,18,4.9,16,3,0,6,17,7,0,99,6.1,675,19:52,17,36,386,351,50
Lawson Crouse,25,ARI,LW,32,14,6,20,1,20,2.3,11,3,0,1,6,0,0,63,10.3,568,17:45,24,72,9,13,20
Austin Czarnik,30,DET,C,12,2,1,3,1,2,0.3,2,0,0,0,1,0,0,13,15.4,137,11:27,6,12,4,15,40
Kirby Dach,22,MTL,C,34,5,17,22,-2,24,1.6,4,1,0,2,10,7,0,55,13.3,600,17:39,14,24,32,53,33.3
Evgenii Dadonov,33,MTL,RW,28,2,5,7,-8,10,0,2,0,0,0,5,0,0,33,20,393,14:02,20,12,2,5,44.4
Rasmus Dahlin,22,BUF,D,31,10,27,37,16,40,5.9,6,4,0,2,11,16,0,97,0,812,26:11:00,56,46,0,0,44.2
Zac Dalpe,33,FLA,RW,10,2,2,4,-3,2,0.3,2,0,0,0,2,0,0,13,0,98,9:48,6,10,21,17,29.8
Phillip Danault,29,LAK,C,38,10,17,27,-2,22,2.2,8,2,0,1,9,7,1,75,4,687,18:05,40,37,325,298,33.3
Justin Danforth,29,CBJ,RW,6,2,1,3,-3,4,0.2,2,0,0,0,1,0,0,10,8.1,80,13:23,1,7,4,9,63.2
Laurent Dauphin,27,ARI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.9,8,8:28,0,0,4,1,22.2
