Player, Age, Team, Pos, GP, G, A, PTS, +/-, PIM, PS, EV, PP, SH, GW, EV, PP, SH, S, S%, TOI, ATOI, BLK, HIT, FOW, FOL, FO%
Andreas Athanasiou,28,CHI,C,31,7,3,10,-11,22,0.6,6,1,0,1,2,1,0,61,11.5,498,16:03,25,17,6,17,26.1
Nicolas Aube-Kubel,26,TOT,RW,16,0,4,4,4,13,0.3,0,0,0,0,4,0,0,18,0.0,156,9:45,1,41,2,4,33.3
Nicolas Aube-Kubel,26,WSH,RW,10,0,4,4,5,9,0.4,0,0,0,0,4,0,0,16,0.0,102,10:10,0,20,2,3,40.0
Nicolas Aube-Kubel,26,TOR,RW,6,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,54,9:05,1,21,0,1,0.0
Mikael Backlund,33,CGY,C,35,6,12,18,5,22,1.4,4,1,1,1,10,1,1,100,6.0,620,17:43,10,39,306,279,52.3
Kevin Bahl,22,NJD,D,8,1,1,2,1,4,0.5,1,0,0,0,1,0,0,8,12.5,94,11:45,13,9,0,0,
Josh Bailey,33,NYI,C,31,5,8,13,0,2,1.0,5,0,0,2,6,2,0,40,12.5,482,15:32,15,5,27,33,45.0
Rudolfs Balcers,25,TOT,LW,17,3,2,5,-1,4,0.4,3,0,0,0,2,0,0,24,12.5,173,10:12,4,7,0,2,0.0
Rudolfs Balcers,25,FLA,LW,14,2,2,4,-2,4,0.2,2,0,0,0,2,0,0,21,9.5,153,10:55,4,7,0,2,0.0
Rudolfs Balcers,25,TBL,LW,3,1,0,1,1,0,0.2,1,0,0,0,0,0,0,3,33.3,21,6:53,0,0,0,0,
Alexander Barabanov,28,SJS,F,30,4,17,21,-10,8,1.2,3,1,0,0,9,8,0,57,7.0,533,17:46,22,20,0,0,
Ivan Barbashev,27,STL,C,34,5,11,16,4,15,1.3,5,0,0,1,8,3,0,55,9.1,542,15:57,14,69,41,62,39.8
Cole Bardreau,29,NYI,F,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,7,6:37,0,2,0,0,
Aleksander Barkov,27,FLA,C,25,6,16,22,5,0,1.8,2,4,0,1,10,6,0,82,7.3,539,21:33,17,11,330,254,56.5
Alex Barre-Boulet,25,TBL,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,10,10:01,0,0,0,1,0.0
Tyson Barrie,31,EDM,D,35,4,23,27,2,16,3.4,2,2,0,0,6,17,0,67,6.0,703,20:05,38,24,0,0,
Morgan Barron,24,WPG,C,24,3,6,9,3,4,0.7,3,0,0,1,5,1,0,40,7.5,340,14:09,20,31,5,7,41.7
Mathew Barzal,25,NYI,C,35,5,28,33,3,16,2.8,3,2,0,0,16,12,0,83,6.0,661,18:53,18,20,67,153,30.5
Nathan Bastian,25,NJD,RW,21,3,5,8,4,15,0.7,3,0,0,1,5,0,0,26,11.5,288,13:43,18,50,5,12,29.4
Drake Batherson,24,OTT,C,33,12,19,31,-23,14,2.5,3,9,0,1,11,8,0,105,11.4,613,18:34,12,52,8,15,34.8
Gavin Bayreuther,28,CBJ,D,12,0,1,1,-2,6,0.1,0,0,0,0,1,0,0,13,0.0,181,15:04,19,14,0,0,
Jake Bean,24,CBJ,D,14,1,5,6,-2,6,0.8,1,0,0,0,4,1,0,16,6.3,220,15:42,21,13,0,0,
Ethan Bear,25,VAN,D,23,2,4,6,-4,4,0.7,2,0,0,1,4,0,0,24,8.3,430,18:41,37,20,0,0,

